              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz
         11.650          13.229          -0.100         0.10412         0.27136        -0.01322         0.09123        -0.01248        -0.19535
         -6.730         -13.898          -0.100         0.47825         0.24713         0.02657        -0.11301         0.00979        -0.36524
         -9.435           9.717          -0.100         1.86723        -2.17049        -0.42076        -0.07898         0.27688        -1.78825
          0.837           1.680          -0.100       -24.64309         4.07376        -4.00374        -7.77142        -5.95305        32.41452
         -7.725          -5.865          -0.100       -10.45293         1.07294        -1.80843       -14.91467         5.84082        25.36760
          5.821          -2.551          -0.100         1.71470         0.46126        -0.16632         0.31189        -0.16296        -2.02659
          9.368          11.062          -0.100         0.45487         0.81240        -0.09143         0.14469        -0.06798        -0.59956
         -2.153          -4.378          -0.100       -25.04715        -7.86184       -15.92914        -6.69459        -3.94036        31.74173
          9.796          -6.519          -0.100        -0.62382         1.66180        -0.25767         2.70550        -0.48393        -2.08168
         13.616          -3.774          -0.100        -0.12890         0.09228        -0.00486         0.45017        -0.02537        -0.32127
         -3.889         -13.870          -0.100         0.57741         0.21394         0.03519        -0.12491         0.01098        -0.45250
         -6.734          14.720          -0.100         0.51808        -0.13117        -0.02765        -0.20101         0.00381        -0.31707
          0.695           9.000          -0.100         0.77796        -0.82488        -0.35598         1.36568         0.29534        -2.14364
        -10.223           2.557          -0.100        -3.81117        -0.58133        -0.04095        12.01387         3.84163        -8.20269
          7.602         -14.166          -0.100         0.73160        -0.50573         0.05921        -0.20165        -0.02198        -0.52995
        -14.021          -9.806          -0.100         0.04903         0.33032         0.01350         0.23327         0.01680        -0.28230
        -11.851          -8.018          -0.100         0.00788         0.64147         0.03739         0.64702         0.05928        -0.65490
        -13.142           7.571          -0.100        -0.04285        -0.78930        -0.05102         0.76670         0.08801        -0.72385
